[1409] \Global\Bouncer\Behaviour\Idle\Hangout
[610] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[597] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun
[598] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun
[599] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[630] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\Util\AttackRightsSpawn\AlwaysMiss
[629] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\Util\AttackRightsSpawn\AttackRightsAcquired
[591] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\PopOut
[590] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\HitRecent
[631] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Idle
[632] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Idle\Reactions\DodgeFire
[633] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Idle\Reactions\Down
[634] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Idle\Reactions\Down\PeekUp
[684] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire
[720] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\Dummy
[685] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp
[712] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic
[713] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[715] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[716] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[714] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[709] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun
[710] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[711] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[703] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher
[704] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[705] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[717] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol
[718] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol
[719] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[706] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun
[707] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun
[708] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[695] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic
[696] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[698] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[699] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[697] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[692] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun
[693] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[694] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[686] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher
[687] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[688] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[700] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol
[701] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol
[702] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[689] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun
[690] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun
[691] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[722] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\Util\AttackRightsSpawn\AlwaysMiss
[721] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\Fire\RangedAttack\Util\AttackRightsSpawn\AttackRightsAcquired
[683] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Attack\PopOut
[682] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\HitRecent
[723] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle
[724] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\AimedAt
[728] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire
[764] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\Dummy
[729] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp
[756] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic
[757] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[759] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[760] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[758] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[753] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun
[754] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[755] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[747] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher
[748] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[749] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[761] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol
[762] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol
[763] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[750] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun
[751] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun
[752] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[739] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic
[740] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[742] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[743] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[741] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[736] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun
[737] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[738] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[730] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher
[731] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[732] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[744] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol
[745] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol
[746] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[733] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun
[734] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun
[735] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[766] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Balanced\Idle\Reactions\BlindFire\RangedAttack\Util\AttackRightsSpawn\AlwaysMiss
