[6195] \Global\Thug\MasterSpawn
[7397] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\0xDD162514\0x5A93193E\GrappleBreak
[7378] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks
[7381] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks\5HitCounter
[7382] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks\CommitAttack
[7379] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks\CounterAttack
[7380] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks\Interrupt
[7383] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\Defenseless
[7372] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Countered
[7373] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Countered\EnemyType\Elite_Recovered
[7374] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Countered\EnemyType\Recovered
[7363] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Downed
[7369] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\GrappleStrike
[7370] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\GrappleStrike\EnemyType\Elite_Recovered
[7371] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\GrappleStrike\EnemyType\Recovered
[7367] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Default
[7368] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Default\Recover
[7364] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Jiangshi
[7366] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Jiangshi\Recover\0x55BE05A8
[7365] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Jiangshi\Recover\delayed
[7377] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Dodge\Defenseless
[7375] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Dodge\DodgeAttacks
[7376] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Dodge\DodgeAttacks\CounterAttack
[7384] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\DLC_Ghost\0x32103B5D
[7386] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\DLC_Ghost\Jiangshi\0x8BF68186\0x8BF68186
[7385] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\DLC_Ghost\Jiangshi\0x8BF68186\GrappleBreak
[7387] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\DLC_Ghost\Jiangshi\0xDDC70216
[7395] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Defenseless
[7388] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\0x3B383EF4
[7389] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\GrappleBreak
[7391] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Queries\0x15F37294
[7392] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Queries\0x42D4BF8E
[7394] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Queries\0x934264D2
[7393] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Queries\0xE7885106
[7390] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Wait
[7398] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Wait
[6402] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat
[6406] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\CombatEntry
[6407] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\CombatEntry\Dialogue
[6408] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\Done
[6403] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\DrawPistol
[6404] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\DrawPistol\Dialogue
[6405] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\SkipCombatEntry
[7412] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\FullNelsonAnimationLoader
[7405] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\GunFightStimulus
[6400] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\LostTarget
[7519] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\MoveToCombatRegion
[7522] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\MoveToCombatRegion\FindNewCoverSpawn\CoverSearch
[7520] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\MoveToCombatRegion\FindNewCoverSpawn\InitialWait
[7521] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\MoveToCombatRegion\FindNewCoverSpawn\Wait
[6399] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\NISCurtainsActive
[7523] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\WaitForRandomStartTime
[8203] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget
[8205] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI
[8206] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\ApproachPOI\Jog
[8207] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\ApproachPOI\Walk
[8208] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\Sync
[8209] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\UsePOI\UsePOI
[8211] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\UsePOI\UsePOI\POI_Exit\EndUse
[8212] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\UsePOI\UsePOI\POI_Exit\LostResources
[8210] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\UsePOI\UsePOI\POI_Exit\TimeoutPOI
[8213] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\UsePOI\WaitForResources
[8215] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\UsePOI\WaitForResources\Wait\5secTimeOut
[8214] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\ApproachAndUsePOI\POIBehaviour\POI\Spawn\UsePOI\WaitForResources\Wait\Forever
[8204] \Global\Thug\MasterSpawn\Actions\Objectives\AttackWhenSeeTarget\AttackWhenSeeTarget\BeginAttacking
[7663] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle
[7672] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\SetupTarget\FindVehicleAndSeat
[7665] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour
[7666] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\Align
[7670] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Jog
[7669] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Run
[7671] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Walk
[7667] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterBike
[7668] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterVehicle
[7664] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Wait
[7674] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat
[7679] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\CombatReactions\Disabled\Downed
[7681] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\CombatReactions\Disabled\Grappled
[7680] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\CombatReactions\Disabled\Stunned
[7685] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\CombatReactions\Gloat\GloatKnockdown
[7684] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\CombatReactions\Gloat\GloatVictory
[7682] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\CombatReactions\InvalidTarget
[7683] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\CombatReactions\ReactToAlliedHit
[8159] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\Idle
[8160] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\Idle\Stance\CombatStance
[8161] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\Idle\Stance\Idle
[8079] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\Blocking
[8080] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\Blocking\Exit
[8068] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt
[8069] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt\Attack
[8076] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt\Attack\AttackInterruptedByHit
[8074] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt\Attack\Attacks\Default\Dummy
[8072] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt\Attack\Attacks\Default\InRange\Attack
[8071] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt\Attack\Attacks\Default\InRange\Defending
[8073] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt\Attack\Attacks\Default\MoveIn
[8070] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt\Attack\Attacks\Default\TargetNotAttackable
[8075] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt\Attack\Attacks\Dummy
[8077] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\Attempt\Exit
[8078] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\AttackFromBlock\ReadyToAttack\Interrupt\FailedChance
[8097] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\FullNelson\HoldTargetforAlly
[8101] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\FullNelson\HoldTargetforAlly\AssignTarget\Assigned
[8102] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\FullNelson\HoldTargetforAlly\AssignTarget\Idle
[8100] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\FullNelson\HoldTargetforAlly\Hold\Exit
[8099] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\FullNelson\HoldTargetforAlly\Hold\FullNelson
[8098] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\FullNelson\HoldTargetforAlly\releaseTarget
[8066] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\BreakOut
[8067] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\BreakOut\Exit
[8053] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\Dummy
[8045] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Defending
[8046] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm
[8051] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\Dummy
[8050] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\EndStruggle
[8047] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\Struggle
[8049] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\Struggle\Dummy
[8048] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\Struggle\StruggleRequest
[8052] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\MoveIn
[8044] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\TargetNotAttackable
[8065] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Dummy
[8063] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\Dummy
[8061] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\InRange\Attack
[8060] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\InRange\Defending
[8062] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\MoveIn
[8059] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\TargetNotAttackable
[8064] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Dummy
[8058] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\Dummy
[8056] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\InRange\Attack
[8055] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\InRange\Defending
[8057] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\MoveIn
[8054] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\TargetNotAttackable
[8081] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget
[8084] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\Behavior\Attack
[8082] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\Behavior\Exit
[8083] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\Behavior\PathTowards
[8085] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\Behavior\WaitTillFacing
[8086] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\FullNelson\HoldTargetforAlly
[8089] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\FullNelson\HoldTargetforAlly\Hold\Exit
[8088] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\FullNelson\HoldTargetforAlly\Hold\FullNelson
[8087] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\FullNelson\HoldTargetforAlly\releaseTarget
[8110] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack
[8133] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\AttackInterruptedByHit
[8120] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\Dummy
[8112] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Defending
[8113] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm
[8118] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\Dummy
[8117] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\EndStruggle
[8114] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\Struggle
[8116] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\Struggle\Dummy
[8115] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\Struggle\StruggleRequest
[8119] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\MoveIn
[8111] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\TargetNotAttackable
[8132] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Dummy
[8130] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\Dummy
[8128] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\InRange\Attack
[8127] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\InRange\Defending
[8129] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\MoveIn
[8126] \Global\Thug\MasterSpawn\Actions\Objectives\BeAllyBehaviour\Behaviour\Combat\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\TargetNotAttackable
